góp ý 2259
ý về 2298
về dự 4723
dự án 65398
án luật 2917
luật phòng 3866
phòng chống 11551
chống rửa 6470
rửa tiền 16388
tiền sửa 2530
sửa đổi 18039
đổi sáng 1009
sáng đại 824
đại biểu 33287
thị thu 2073
thu thủy 2130
thủy đoàn 1138
đoàn bình 1761
bình định 2424
định đề 794
đề nghị 27864
nghị kiểm 828
kiểm soát 59712
soát tài 569
tài sản 106986
sản ảo 2246
ảo tiền 14435
tiền dùng 5133
dùng cho 1043
cho tài 1230
tài trợ 3132
bố bởi 569
bởi trong 569
trong bối 44927
bối cảnh 49360
cảnh công 569
công nghệ 38301
nghệ thông 3181
thông tin 88858
tin ngày 569
ngày càng 36897
càng phát 788
phát triển 85675
triển như 577
như hiện 7895
hiện nay 36036
nay đang 1001
đang tạo 578
tạo ra 17892
ra nhiều 4208
nhiều cơ 1119
cơ hội 18293
hội và 5503
và kênh 569
kênh khác 569
khác nhau 14987
nhau để 569
để tội 569
tội phạm 11135
phạm rửa 1990
tiền lợi 1275
lợi dụng 8385
dụng rửa 569
tiền không 2947
không hợp 1769
hợp pháp 6497
pháp thành 569
thành tiền 1450
tiền hợp 569
pháp khi 569
khi tiền 2051
ảo tài 1707
sản số 1128
số đã 1796
đã được 26943
được một 4573
một số 109590
số quốc 3155
quốc gia 38671
gia công 2167
công nhận 4933
nhận thì 1749
thì tại 1829
tại việt 18760
việt nam 180087
nam gần 625
gần đây 29403
đây đã 7095
đã xuất 3961
xuất hiện 24442
hiện cái 1124
cái hình 569
hình thức 35494
thức mua 569
mua bán 188668
vì thế 4781
thế nếu 677
nếu không 7915
không quy 1128
quy định 107386
định cụ 2574
cụ thể 64220
thể thì 882
thì sẽ 5383
sẽ tạo 4573
tạo kẽ 569
kẽ hở 1108
hở cho 1108
cho tội 1108
tiền chuyển 11322
dụng bà 1290
bà thủy 2761
thủy nhấn 569
nhấn mạnh 25424
mạnh đại 784
định ảnh 1729
ảnh quốc 7358
quốc chính 9271
chính cũng 6734
cũng theo 5342
theo bà 4200
thủy từ 817
từ năm 44864
năm bộ 3748
bộ tư 4173
tư pháp 3553
pháp cũng 893
cũng đã 28258
đã đề 7080
đề cập 9800
cập vấn 569
vấn đề 66514
đề về 4822
về tiền 5693
ảo có 743
có nguy 1438
nguy cơ 10306
cơ bị 3235
bị lạm 569
lạm dụng 2749
dụng để 5724
để thực 9912
thực hiện 118131
hiện các 16031
các hoạt 11409
hoạt động 171921
động phi 569
phi pháp 569
pháp trong 1431
trong đó 72009
đó có 23214
có rửa 569
tiền và 9538
và tài 5384
bố việt 569
nam cũng 3471
đã đẩy 2039
đẩy mạnh 14548
mạnh việc 3925
việc giám 1216
giám sát 21878
sát việc 2392
việc thực 9375
thực thi 7312
thi các 1092
các quy 12929
định về 20902
về phòng 3226
chống tiền 1885
tiền đối 1138
đối với 94948
với khu 2296
khu vực 30906
vực tư 1004
tư nhân 32561
nhân đặc 1944
đặc biệt 49331
biệt là 15931
là các 14689
các lĩnh 9399
lĩnh vực 48248
vực mới 569
mới nổi 2372
nổi mà 569
mà tội 874
phạm có 2255
năng sử 569
sử dụng 64130
các hành 11964
hành vi 20010
vi rửa 2276
tiền tuy 1245
nay theo 2845
thủy pháp 569
pháp luật 52728
luật việt 1587
nam vẫn 5568
vẫn chưa 17392
chưa có 22444
có khung 998
khung pháp 2828
pháp lý 12709
lý điều 1887
điều chỉnh 89045
chỉnh và 1601
và quản 5585
quản lý 91664
lý do 14822
do đó 34238
đó để 1102
để dự 1466
dự thảo 9992
thảo luật 1046
tiền bao 569
bao quát 1216
quát các 569
động mới 4815
mới phát 3122
phát sinh 22330
sinh thì 569
thì cũng 2683
cũng đề 5715
nghị ban 1158
ban soạn 569
soạn thảo 971
thảo xem 569
xem xét 18710
xét nghiên 569
nghiên cứu 30214
cứu bổ 569
bổ sung 26328
sung dẫn 569
dẫn chiếu 569
chiếu các 569
định của 38389
của các 86674
các nước 17091
nước đã 23461
đã công 6538
nhận về 3642
về các 11240
các loại 16300
loại hình 6458
hình này 3620
này luật 1985
luật quy 945
định rõ 2898
rõ hình 569
thức quy 569
định thống 569
thống nhất 8777
nhất thế 6952
thế không 1130
không thống 1263
nhất ở 3643
ở mức 232914
mức độ 11256
độ nào 937
nào đại 569
biểu huỳnh 1382
huỳnh thị 1138
thị phúc 1138
phúc đoàn 1138
đoàn bà 1138
bà rịa 2149
rịa vũng 2149
vũng tàu 2230
tàu ảnh 569
chính đồng 899
đồng quan 7455
quan điểm 25241
điểm đại 569
tàu cho 569
cho rằng 139409
rằng sự 2621
sự phát 7819
triển của 8170
của kinh 1299
kinh tế 234066
tế số 5831
số cũng 1365
cũng là 25230
là cơ 4188
hội để 2637
để các 2959
các đối 11240
đối tượng 31855
tượng tội 569
có hành 5625
vi gian 3852
gian lận 5687
lận tinh 569
tinh vi 3963
vi phức 569
phức tạp 10992
tạp hơn 569
hơn bao 1239
bao gồm 20212
gồm các 3201
tiền sử 2068
dụng công 7125
nghệ cao 2713
cao thông 1057
thông qua 33940
qua các 11213
các kênh 3976
kênh thương 569
thương mại 111942
mại điện 10470
điện tử 50765
tử dịch 709
dịch vụ 70967
vụ tài 10648
tài chính 239302
chính trên 1631
trên nền 3906
nền tảng 12066
biểu đề 1632
nghị bổ 1634
sung quy 2089
định pháp 9689
luật về 6603
với tiền 6228
ảo để 1187
để kịp 2937
kịp thời 13257
thời ngăn 569
ngăn chặn 5346
chặn các 954
tiền cũng 1870
cũng tham 569
tham gia 55037
gia góp 1157
đổi đại 569
biểu hoàng 569
hoàng thị 569
thị đôi 569
đôi đoàn 569
đoàn sơn 569
sơn la 569
la nhấn 569
mạnh cần 1425
cần kiểm 1615
soát các 1993
loại giao 1482
giao dịch 231426
dịch trao 1138
trao đổi 16606
đổi trên 569
trên không 5557
không gian 5636
gian mạng 4404
mạng bà 569
bà đôi 1707
đôi cho 1138
rằng khoa 569
khoa học 6509
học công 2953
nghệ phát 569
triển tác 569
tác động 44978
động tích 3276
tích cực 26800
cực làm 570
làm thay 1615
thay đổi 32302
đổi cuộc 1365
cuộc sống 3378
sống tuy 569
các tội 569
phạm công 2109
nghệ cũng 1439
cũng từ 945
từ đó 14224
đó mà 1324
mà tăng 1692
tăng theo 5981
theo đặc 1267
biệt các 2140
vi lợi 569
dụng dữ 569
dữ liệu 27238
liệu trên 3573
mạng để 1138
hiện trao 700
đổi giao 762
dịch cá 569
cá nhân 59954
nhân có 6076
có xu 18950
xu hướng 45187
hướng toàn 569
toàn cầu 31396
cầu bà 569
đôi cũng 569
cũng cho 30511
cho biết 154963
biết tội 569
